id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
51808873,Rental unit in Oakland · ★5.0 · 2 bedrooms · 3 beds · 1 bath,22178415,Esteban,,Lynn-Highland Park,37.79868,-122.2304,Entire home/apt,150,7,5,2023-08-07,0.22,14,269,2,
51825152,Home in Oakland · ★5.0 · 2 bedrooms · 3 beds · 1 bath,5419565,Jane,,Oakmore,37.80867,-122.21168,Entire home/apt,225,3,6,2022-11-27,0.25,1,178,1,
51827306,Home in Oakland · ★4.60 · 1 bedroom · 2 beds · 1 shared bath,401292860,Chinasa,,San Pablo Gateway,37.80945,-122.27382,Private room,85,3,10,2022-09-16,0.59,3,0,0,
51839722,Home in Oakland · ★3.80 · 2 bedrooms · 2 beds · 2.5 baths,48005494,Zeus,,Paradise Park,37.84403,-122.28061,Entire home/apt,193,31,5,2023-06-28,0.22,10,312,4,
51849565,Home in Oakland · 2 bedrooms · 2 beds · 1 shared bath,68941796,Matthew,,Longfellow,37.83291,-122.27101,Private room,60,5,2,2021-10-22,0.08,1,0,0,
51865151,Cottage in Oakland · ★4.71 · 1 bedroom · 2 beds · 1 bath,324728115,Alex,,Glen Highlands,37.83751,-122.21792,Entire home/apt,120,1,7,2022-08-07,0.29,3,0,0,
51904521,Home in Oakland · ★4.80 · 3 bedrooms · 2 beds · 1 bath,2343138,ReRent,,Eastmont Hills,37.76954,-122.16263,Entire home/apt,132,2,5,2021-10-03,0.20,1,0,0,
51907183,Home in Oakland · 2 bedrooms · 2 beds · 1 bath,6094059,Kelly,,Glenview,37.80856555268247,-122.21726709950836,Entire home/apt,130,30,1,2021-09-30,0.04,1,0,0,
51912108,Home in Oakland · ★4.82 · 4 bedrooms · 6 beds · 2.5 baths,227481755,Gavin,,Cleveland Heights,37.80449,-122.2497,Entire home/apt,345,2,76,2023-09-10,3.07,1,339,35,
51926547,Home in Berkeley · ★4.78 · 3 bedrooms · 5 beds · 3 baths,304721494,HostWell,,Claremont,37.8592,-122.2393,Entire home/apt,772,3,27,2023-09-10,1.11,7,354,14,
51953679,Rental unit in Oakland · 1 bedroom · 1 bed · 1 bath,107434423,Blueground,,Pill Hill,37.8204131,-122.2615787,Entire home/apt,191,31,1,2021-10-16,0.04,31,294,0,
51970521,Rental unit in Oakland · 1 bedroom · 1 bed · 1 bath,22178415,Esteban,,Hoover-Foster,37.82425,-122.27523,Entire home/apt,135,4,0,,,14,89,0,
51985377,Guesthouse in Oakland · ★4.86 · 1 bedroom · 1 bed · 1 bath,400195124,Zoë,,Cleveland Heights,37.80741,-122.24162,Entire home/apt,136,1,65,2023-08-26,2.72,1,260,28,
52011728,Guest suite in Berkeley · ★4.95 · Studio · 1 bed · 1 bath,17666638,Sk,,Panoramic Hill,37.86348,-122.23531,Entire home/apt,153,4,59,2023-08-28,2.50,1,67,25,
52019472,Guest suite in Oakland · ★5.0 · 1 bedroom · 1 bed · 1 bath,79671311,Rickisha,,Eastmont,37.76633,-122.1731,Entire home/apt,111,2,12,2023-09-01,1.00,1,364,12,
52028944,Serviced apartment in Oakland · 2 bedrooms · 2 beds · 2.5 baths,48005494,Zeus,,Gaskill,37.83846,-122.28072,Entire home/apt,102,31,2,2022-06-07,0.11,10,20,0,
52028975,Serviced apartment in Oakland · 1 bedroom · 1 bed · 1 bath,48005494,Zeus,,Pill Hill,37.81943,-122.26294,Entire home/apt,99,31,2,2023-06-01,0.13,10,0,1,
52031506,Loft in Emeryville · ★5.0 · 1 bedroom · 2 beds · 1 bath,15237699,Alice,,Gaskill,37.8368,-122.27744,Entire home/apt,135,3,18,2022-02-28,0.77,1,90,0,
52035726,Rental unit in Oakland · ★5.0 · 3 bedrooms · 3 beds · 1 bath,233762531,Faatimah,,Hoover-Foster,37.82453,-122.27333,Entire home/apt,110,2,4,2021-11-27,0.17,1,89,0,
52040012,Condo in Oakland · ★4.97 · 1 bedroom · 1 bed · 1 private bath,19355523,Anshuk,,Mosswood,37.82321640667909,-122.26254799231337,Private room,101,2,36,2023-08-31,1.58,1,332,11,
52049180,Home in Oakland · ★4.92 · 1 bedroom · 1 bed · 1 private bath,18828894,Kristiina,,South Prescott,37.8039,-122.29884,Private room,48,1,142,2023-09-01,6.64,3,61,81,
52049236,Home in Oakland · ★4.90 · 1 bedroom · 1 bed · 1 shared bath,18828894,Kristiina,,South Prescott,37.80387,-122.29711,Private room,44,1,125,2023-08-07,5.22,3,71,59,
52061049,Guesthouse in Berkeley · ★4.78 · Studio · 1 bed · 1 bath,29546580,Kathy,,Panoramic Hill,37.8631,-122.23619,Entire home/apt,99,3,55,2023-09-15,2.24,2,169,25,
52094491,Guest suite in Oakland · 1 bedroom · 1 bath,7404852,D.L.,,Crocker Highland,37.81238,-122.23326,Entire home/apt,90,7,0,,,1,90,0,
52128628,Guesthouse in Oakland · ★4.87 · 2 bedrooms · 2 beds · 1 bath,421484323,Marcus,,North Stonehurst,37.74143,-122.1759,Entire home/apt,120,2,23,2023-09-02,0.95,1,7,4,
52133861,Guesthouse in Oakland · ★5.0 · 1 bedroom · 1 bed · 1 bath,416186944,Francisco,,Gaskill,37.840613833462996,-122.27725133299828,Entire home/apt,102,2,3,2023-08-20,1.76,2,89,3,
52141119,Rental unit in Oakland · 3 bedrooms · 5 beds · 2 baths,3151325,Andrea,,Prescott,37.80937,-122.29437,Entire home/apt,118,30,2,2023-06-08,0.20,1,361,2,
52155319,Condo in Oakland · 1 bedroom · 1 bed · 1 bath,29369921,Sha'Niece,,Adams Point,37.81407,-122.25185,Entire home/apt,125,2,1,2022-02-19,0.05,1,179,0,
